"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","SERP impressions","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"где заказать еду на дом киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"киров доставка еды киров","2019-07-01 - 2019-09-09","2.00","1.00","50.00","17.50","17.00","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","1.00","50.00","17.50","17.00"
"роллы на дом киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","30.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","30.50",""
"пеку блины на заказ сама домашних условиях киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"где в кирово-чепецке можно заказать блины с доставкой","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","12.00",""
"быстрая доставка еды киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","0.00","0.00","","",""
"вкусные продукты киров официальный сайт","2019-07-01 - 2019-09-09","2.00","0.00","0.00","44.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","44.00",""
"киров китайская лапша","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"где можно заказать сырный суп в кирове","2019-07-01 - 2019-09-09","2.00","1.00","50.00","3.00","3.00","0.00","0.00","0.00","","2.00","1.00","50.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"торты чизкейк киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","12.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","12.50",""
"pfrfpfnm tle rbhjd","2019-07-01 - 2019-09-09","2.00","2.00","100.00","7.00","7.00","0.00","0.00","0.00","","0.00","0.00","","","","2.00","2.00","100.00","7.00","7.00","0.00","0.00","","",""
"чебуреки в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","5.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"меню в столовой и цены супы","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.00",""
"обеды с доставкой","2019-07-01 - 2019-09-09","2.00","1.00","50.00","14.00","10.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","10.00","10.00","1.00","0.00","0.00","18.00",""
"морская пицца киров","2019-07-01 - 2019-09-09","2.00","1.00","50.00","1.50","1.00","0.00","1.00","1.00","100.00","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"салаты для большой компании купить киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"горячие обеды киров доставка","2019-07-01 - 2019-09-09","2.00","0.00","0.00","4.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"праздничный обед на заказ киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","0.00","0.00","","",""
"пицца киров доставка круглосуточно","2019-07-01 - 2019-09-09","2.00","1.00","50.00","9.00","9.00","0.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","9.00","9.00","0.00","0.00","","",""
"доставка рамен киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","7.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","0.00","0.00","","",""
"доставка салатов аироч","2019-07-01 - 2019-09-09","2.00","1.00","50.00","1.00","1.00","0.00","2.00","1.00","50.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"хомяк доставка еды киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","24.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","24.00",""
"заказать пиццу в кирове на дом","2019-07-01 - 2019-09-09","2.00","0.00","0.00","22.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","22.00",""
"шумовка столовая","2019-07-01 - 2019-09-09","2.00","1.00","50.00","2.00","1.00","0.00","1.00","1.00","100.00","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"кафе киров еда на вынос","2019-07-01 - 2019-09-09","2.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"киров блины","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","0.00","0.00","","",""
"пицца киров бесплатная доставка","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"киров доставка на дом","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","11.00",""
"доставка еды киров по минимальным ценам","2019-07-01 - 2019-09-09","2.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","12.00",""
"доставка готовой еды киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.00",""
"кафе шумовка меню","2019-07-01 - 2019-09-09","2.00","0.00","0.00","2.50","","0.00","0.00","0.00","","2.00","0.00","0.00","2.50","","0.00","0.00","","","","0.00","0.00","","",""
"купить москве пельмени из кирова","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"заказать домашнюю еду","2019-07-01 - 2019-09-09","2.00","1.00","50.00","5.00","5.00","0.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","5.00","5.00","0.00","0.00","","",""
"салат кировский","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","0.00","0.00","","",""
"калинина 40 киров кафе","2019-07-01 - 2019-09-09","2.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"чизкейк кафе","2019-07-01 - 2019-09-09","2.00","0.00","0.00","12.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","12.50",""
"гриль бар фестиваль 3 этаж меню маленькие чебуреки","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"киров заказ на дом еды","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","0.00","0.00","","",""
"кресло чебурек","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"киров пицца с доставкой","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","0.00","0.00","","",""
"где заказать суп на дом в кирове","2019-07-01 - 2019-09-09","2.00","1.00","50.00","2.50","4.00","0.00","1.00","0.00","0.00","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"шумовка калинина 40 телефон","2019-07-01 - 2019-09-09","2.00","0.00","0.00","5.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"киров заказать еду с доставкой","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.50","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","13.00",""
"спк доставка еды киров меню","2019-07-01 - 2019-09-09","2.00","0.00","0.00","37.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","37.00",""
"шумовка киров официальный","2019-07-01 - 2019-09-09","2.00","0.00","0.00","2.00","","0.00","0.00","0.00","","2.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"пицца в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"пицца киров доставка самая быстрая","2019-07-01 - 2019-09-09","2.00","0.00","0.00","16.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","16.00",""
"доставка еды киров 24 часа","2019-07-01 - 2019-09-09","2.00","0.00","0.00","24.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","24.50",""
"шумовка киров калинина 40 меню","2019-07-01 - 2019-09-09","2.00","0.00","0.00","1.50","","0.00","1.00","0.00","0.00","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"кафе шумовка на калинина","2019-07-01 - 2019-09-09","2.00","0.00","0.00","2.00","","0.00","0.00","0.00","","2.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"где купить чизкейк киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","4.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"чебуречная киров доставка","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"еда43","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","0.00","0.00","","",""
"пельмени с чесноком купить киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"шумовка дк","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","0.00","0.00","","",""
"пивная тарелка киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"чизкейки в кирове цена","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"киров доставка","2019-07-01 - 2019-09-09","2.00","0.00","0.00","20.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","20.50",""
"доставка салатов на дом киров","2019-07-01 - 2019-09-09","2.00","1.00","50.00","2.00","2.00","0.00","0.00","0.00","","2.00","1.00","50.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"где купить и пельмени пижанские в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","0.00","0.00","","",""
"шумовка купить киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","3.50","","0.00","1.00","0.00","0.00","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"телефон шумовки город киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","0.00","0.00","","",""
"доставка готовой еды на дом киров супчик","2019-07-01 - 2019-09-09","2.00","1.00","50.00","2.00","2.00","0.00","0.00","0.00","","2.00","1.00","50.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"киров заказать десерт","2019-07-01 - 2019-09-09","2.00","1.00","50.00","2.50","3.00","0.00","0.00","0.00","","2.00","1.00","50.00","2.50","3.00","0.00","0.00","","","","0.00","0.00","","",""
"блинок киров меню","2019-07-01 - 2019-09-09","2.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","13.00",""
"удон с морепродуктами заказать в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"заказать закуски на дом киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","24.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","24.00",""
"купить готовые салаты киров","2019-07-01 - 2019-09-09","2.00","1.00","50.00","2.50","2.00","0.00","0.00","0.00","","2.00","1.00","50.00","2.50","2.00","0.00","0.00","","","","0.00","0.00","","",""
"доставка вок лапши киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.50","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"заказать чебуреки","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказать пиццу а г.киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"вкусные пиццы в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","0.00","0.00","","",""
"пицца киров с бесплатной доставкой","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"доставка еду","2019-07-01 - 2019-09-09","2.00","0.00","0.00","16.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","16.00",""
"доставка блинов","2019-07-01 - 2019-09-09","2.00","2.00","100.00","1.00","1.00","0.00","2.00","2.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"чизкейк цена за 1","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.50","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","1.00","0.00","0.00","12.00",""
"до до пицца заказать киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","0.00","0.00","","",""
"три медведя обед киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","43.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","43.50",""
"бесплатные обеды в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.00",""
