"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"киров доставка роллов сайт","2019-07-04 - 2019-10-04","3.00","0.00","0.00","38.67","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","38.67",""
"купить пиццу в кирове недорого","2019-07-04 - 2019-10-04","3.00","1.00","33.33","8.00","8.00","0.00","0.00","","0.00","0.00","","","","3.00","1.00","33.33","8.00","8.00","0.00","0.00","","",""
"роллы киров купить","2019-07-04 - 2019-10-04","3.00","0.00","0.00","8.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.67","","0.00","0.00","","",""
"роллы купить","2019-07-04 - 2019-10-04","3.00","0.00","0.00","10.67","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","2.00","0.00","0.00","11.00",""
"чизкейк цена киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","2.00","0.00","0.00","13.00",""
"заказ еды киров вкусно","2019-07-04 - 2019-10-04","3.00","0.00","0.00","10.33","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","2.00","0.00","0.00","11.00",""
"сайт 43 еду кировская область","2019-07-04 - 2019-10-04","3.00","0.00","0.00","24.67","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","2.00","0.00","0.00","36.00",""
"супчик доставка","2019-07-04 - 2019-10-04","3.00","1.00","33.33","3.33","3.00","0.00","0.00","","2.00","1.00","50.00","3.00","3.00","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"где купить тесто для пельменей в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","10.67","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","2.00","0.00","0.00","12.00",""
"те самые чебуреки киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","7.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","7.67","","0.00","0.00","","",""
"роллы на заказ киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","9.33","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","2.00","0.00","0.00","13.00",""
"чебуреки кировский","2019-07-04 - 2019-10-04","3.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","1.00","0.00","0.00","13.00",""
"заказ обед киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","1.00","0.00","0.00","12.00",""
"пельменные в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","10.33","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.50","","1.00","0.00","0.00","12.00",""
"еда в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","12.67","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","2.00","0.00","0.00","15.50",""
"пицца заказать","2019-07-04 - 2019-10-04","3.00","0.00","0.00","8.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.67","","0.00","0.00","","",""
"заказать чебуреки в кирове","2019-07-04 - 2019-10-04","3.00","1.00","33.33","3.00","5.00","0.00","0.00","","2.00","0.00","0.00","2.00","","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","",""
"заказать китайскую лапшу острую г.киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.00","","0.00","0.00","","",""
"обеды в офис киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","16.33","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","1.00","0.00","0.00","34.00",""
"сладости с доставкой киров","2019-07-04 - 2019-10-04","3.00","1.00","33.33","5.33","6.00","0.00","0.00","","0.00","0.00","","","","3.00","1.00","33.33","5.33","6.00","0.00","0.00","","",""
"киров роллы на дом","2019-07-04 - 2019-10-04","3.00","0.00","0.00","30.33","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","30.33",""
"доставка еда","2019-07-04 - 2019-10-04","3.00","0.00","0.00","10.33","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","1.00","0.00","0.00","11.00",""
"чебуреки заказать","2019-07-04 - 2019-10-04","3.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","1.00","0.00","0.00","13.00",""
"пицца в кирове заказать","2019-07-04 - 2019-10-04","3.00","0.00","0.00","9.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.33","","0.00","0.00","","",""
"чебурек киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.00","","0.00","0.00","","",""
"пивная тарелка закуска ижевск доставка","2019-07-04 - 2019-10-04","3.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"пельмени буйские купить в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка киров пицца","2019-07-04 - 2019-10-04","3.00","0.00","0.00","9.33","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","1.00","0.00","0.00","11.00",""
"karin киров меню чизкейк","2019-07-04 - 2019-10-04","3.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","12.00",""
"заказать пиццу на дом в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","22.33","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","22.33",""
"пельмени кировские в коробке","2019-07-04 - 2019-10-04","3.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","12.00",""
"суп киров доставка","2019-07-04 - 2019-10-04","3.00","2.00","66.67","1.67","1.50","1.00","1.00","100.00","2.00","1.00","50.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"доставка десертов на дом киров","2019-07-04 - 2019-10-04","3.00","1.00","33.33","2.00","2.00","0.00","0.00","","3.00","1.00","33.33","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"данар киров доставка на дом меню заказать","2019-07-04 - 2019-10-04","3.00","0.00","0.00","29.33","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","29.33",""
"купить роллы","2019-07-04 - 2019-10-04","3.00","0.00","0.00","10.67","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","2.00","0.00","0.00","11.50",""
"ул калинина 40","2019-07-04 - 2019-10-04","3.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","2.00","0.00","0.00","14.50",""
"доставка сладостей киров","2019-07-04 - 2019-10-04","3.00","1.00","33.33","3.00","3.00","0.00","0.00","","3.00","1.00","33.33","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"блинчики заказать киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","2.67","","0.00","0.00","","2.00","0.00","0.00","2.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"чебуреки на заказ кировский рн спб","2019-07-04 - 2019-10-04","3.00","0.00","0.00","11.33","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","11.33",""
"доставка еды три медведя киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","25.67","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","25.67",""
"кировский салаты","2019-07-04 - 2019-10-04","3.00","0.00","0.00","5.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"готовая еда киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","16.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","16.00",""
"вкусные пельмени киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","2.33","","0.00","0.00","","3.00","0.00","0.00","2.33","","0.00","0.00","","","","0.00","0.00","","",""
"wok киров заказать","2019-07-04 - 2019-10-04","3.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","11.00",""
"кафе на калинина 40 киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","3.33","","0.00","0.00","","2.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"заказать вкусную пиццу киров","2019-07-04 - 2019-10-04","3.00","1.00","33.33","8.00","13.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","1.00","1.00","100.00","13.00","13.00"
"доставка еды киров киров","2019-07-04 - 2019-10-04","3.00","1.00","33.33","3.00","5.00","0.00","0.00","","2.00","0.00","0.00","2.00","","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","",""
"shumovka43","2019-07-04 - 2019-10-04","3.00","3.00","100.00","1.00","1.00","3.00","3.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"доставка еды г киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","9.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.33","","0.00","0.00","","",""
"киров заказать роллы","2019-07-04 - 2019-10-04","3.00","0.00","0.00","29.33","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","2.00","0.00","0.00","39.00",""
"pfrfp tls rbhjd","2019-07-04 - 2019-10-04","3.00","0.00","0.00","13.67","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","1.00","0.00","0.00","23.00",""
"43 еду киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","17.33","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","17.33",""
"десерты на заказ киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","3.67","","0.00","0.00","","2.00","0.00","0.00","2.00","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"закуски на заказ киров","2019-07-04 - 2019-10-04","3.00","2.00","66.67","7.33","8.00","0.00","0.00","","0.00","0.00","","","","3.00","2.00","66.67","7.33","8.00","0.00","0.00","","",""
"пельмени пижанка купить в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","12.67","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","2.00","0.00","0.00","14.50",""
"супчик еда надом","2019-07-04 - 2019-10-04","3.00","1.00","33.33","6.00","6.00","0.00","0.00","","0.00","0.00","","","","3.00","1.00","33.33","6.00","6.00","0.00","0.00","","",""
"пицца на заказ в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","6.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.67","","0.00","0.00","","",""
"три медведя обед киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","40.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","40.00",""
"вкусные чебуреки киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","5.00","","0.00","0.00","","",""
"киров еду 43","2019-07-04 - 2019-10-04","3.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","2.00","0.00","0.00","11.50",""
"лучшие пельмени в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","8.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.33","","0.00","0.00","","",""
"калинина 40 киров роллы","2019-07-04 - 2019-10-04","3.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","5.00","","0.00","0.00","","",""
"пельмени в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","5.00","","0.00","0.00","","",""
"пельмени ручной лепки где уни котельнич заказать кировская область","2019-07-04 - 2019-10-04","3.00","0.00","0.00","10.33","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","2.00","0.00","0.00","11.00",""
"пицца на дом с бесплатной доставкой киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","8.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.33","","0.00","0.00","","",""
"сушилка киров официальный сайт меню","2019-07-04 - 2019-10-04","3.00","0.00","0.00","33.67","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","33.67",""
"доставка г киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","15.33","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","15.33",""
"заказ еды шумовка киров","2019-07-04 - 2019-10-04","3.00","2.00","66.67","2.00","2.00","0.00","0.00","","3.00","2.00","66.67","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"торты чизкейк киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","13.67","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","13.67",""
"обед доставка киров","2019-07-04 - 2019-10-04","3.00","1.00","33.33","7.00","5.00","0.00","0.00","","0.00","0.00","","","","3.00","1.00","33.33","7.00","5.00","0.00","0.00","","",""
"лапша удон киров доставка","2019-07-04 - 2019-10-04","3.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.00","","0.00","0.00","","",""
"киров еда с доставкой","2019-07-04 - 2019-10-04","3.00","0.00","0.00","10.67","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.50","","1.00","0.00","0.00","13.00",""
"пельмени заказать киров","2019-07-04 - 2019-10-04","3.00","1.00","33.33","2.33","4.00","1.00","0.00","0.00","1.00","0.00","0.00","2.00","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"шамовка киров","2019-07-04 - 2019-10-04","3.00","1.00","33.33","1.00","1.00","3.00","1.00","33.33","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"сколько стоит чизкейк в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","6.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.33","","0.00","0.00","","",""
"чизкейки с доставкой киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","7.00","","0.00","0.00","","",""
"лапша вок киров заказать","2019-07-04 - 2019-10-04","3.00","0.00","0.00","9.67","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","1.00","0.00","0.00","11.00",""
"пельмени доставка киров","2019-07-04 - 2019-10-04","3.00","1.00","33.33","1.00","1.00","3.00","1.00","33.33","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"обед киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","12.67","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","1.00","0.00","0.00","27.00",""
"закуски киров доставка","2019-07-04 - 2019-10-04","3.00","0.00","0.00","4.33","","0.00","0.00","","1.00","0.00","0.00","3.00","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"доставка в киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","24.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","24.00",""
"пивная тарелка на вынос","2019-07-04 - 2019-10-04","3.00","0.00","0.00","3.33","","0.00","0.00","","2.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"шумовка киров доставка","2019-07-04 - 2019-10-04","3.00","1.00","33.33","2.00","2.00","0.00","0.00","","3.00","1.00","33.33","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
